Time	Open	High	Low	Close	Volume
2021-09-06 10:55:00	1.08684	1.08699	1.08684	1.08698	93
2021-09-06 11:00:00	1.08699	1.08725	1.08699	1.08725	97
2021-09-06 11:05:00	1.08725	1.08726	1.08711	1.08711	103
2021-09-06 11:10:00	1.08711	1.08716	1.08705	1.08705	119
2021-09-06 11:15:00	1.08705	1.08707	1.08686	1.08687	115
2021-09-06 11:20:00	1.08687	1.08694	1.08672	1.08678	152
2021-09-06 11:25:00	1.08678	1.08688	1.08678	1.08685	104
2021-09-06 11:30:00	1.08685	1.08689	1.08681	1.08684	89
2021-09-06 11:35:00	1.08684	1.08688	1.08671	1.08672	178
2021-09-06 11:40:00	1.08672	1.08685	1.08667	1.08683	121
2021-09-06 11:45:00	1.08683	1.08686	1.08671	1.08678	124
2021-09-06 11:50:00	1.08677	1.08684	1.08676	1.08676	117
2021-09-06 11:55:00	1.08676	1.08677	1.08642	1.08648	240
2021-09-06 12:00:00	1.08648	1.08683	1.08648	1.08679	119
2021-09-06 12:05:00	1.08679	1.08686	1.08675	1.08685	57
2021-09-06 12:10:00	1.08685	1.0869	1.08676	1.08683	121
2021-09-06 12:15:00	1.08685	1.08691	1.08679	1.08689	75
2021-09-06 12:20:00	1.08689	1.08704	1.08689	1.08695	135
2021-09-06 12:25:00	1.08693	1.08702	1.08688	1.08701	88
2021-09-06 12:30:00	1.087	1.08708	1.08694	1.08703	115
2021-09-06 12:35:00	1.08703	1.08704	1.08693	1.08695	115
2021-09-06 12:40:00	1.08697	1.08703	1.08682	1.08688	149
2021-09-06 12:45:00	1.08687	1.08702	1.08687	1.08698	74
2021-09-06 12:50:00	1.087	1.08701	1.08693	1.08694	76
2021-09-06 12:55:00	1.08694	1.08743	1.08694	1.08738	171
2021-09-06 13:00:00	1.08738	1.0874	1.08716	1.08717	141
2021-09-06 13:05:00	1.08716	1.08727	1.08714	1.08726	107
2021-09-06 13:10:00	1.08726	1.08728	1.08703	1.08703	109
2021-09-06 13:15:00	1.08703	1.0871	1.08697	1.087	119
2021-09-06 13:20:00	1.087	1.08723	1.087	1.08711	129
2021-09-06 13:25:00	1.0871	1.08726	1.0871	1.08722	105
2021-09-06 13:30:00	1.08723	1.08738	1.0872	1.08738	99
2021-09-06 13:35:00	1.08736	1.08743	1.08727	1.08741	90
2021-09-06 13:40:00	1.08742	1.0878	1.08738	1.08778	114
2021-09-06 13:45:00	1.08778	1.08796	1.08766	1.08773	142
2021-09-06 13:50:00	1.08771	1.0879	1.0877	1.08784	132
2021-09-06 13:55:00	1.08785	1.08787	1.08724	1.08725	288
2021-09-06 14:00:00	1.08724	1.08732	1.08705	1.08713	211
2021-09-06 14:05:00	1.08714	1.08749	1.08714	1.08749	147
2021-09-06 14:10:00	1.08749	1.0875	1.08735	1.08744	132
2021-09-06 14:15:00	1.08743	1.08751	1.08736	1.08747	212
2021-09-06 14:20:00	1.08746	1.08752	1.08737	1.08737	177
2021-09-06 14:25:00	1.08735	1.08735	1.08718	1.08727	198
2021-09-06 14:30:00	1.08727	1.08739	1.08718	1.0872	129
2021-09-06 14:35:00	1.0872	1.0874	1.08706	1.08718	211
2021-09-06 14:40:00	1.08719	1.08725	1.08703	1.08714	220
2021-09-06 14:45:00	1.0871	1.0871	1.08685	1.08685	267
2021-09-06 14:50:00	1.08687	1.08689	1.08665	1.08686	142
2021-09-06 14:55:00	1.08687	1.08689	1.08645	1.08658	285
2021-09-06 15:00:00	1.08658	1.08683	1.08658	1.0868	194
2021-09-06 15:05:00	1.08679	1.08679	1.08642	1.08655	125
2021-09-06 15:10:00	1.08654	1.0869	1.08651	1.0869	152
2021-09-06 15:15:00	1.08692	1.08696	1.0869	1.08693	79
2021-09-06 15:20:00	1.08693	1.08694	1.08662	1.08663	104
2021-09-06 15:25:00	1.08662	1.08667	1.08662	1.08662	98
2021-09-06 15:30:00	1.08663	1.08673	1.08659	1.08673	128
2021-09-06 15:35:00	1.08672	1.08672	1.08647	1.08648	153
2021-09-06 15:40:00	1.08648	1.08653	1.08644	1.08649	102
2021-09-06 15:45:00	1.08648	1.08654	1.08634	1.08634	130
2021-09-06 15:50:00	1.08634	1.0865	1.08633	1.08641	71
2021-09-06 15:55:00	1.08641	1.08656	1.0864	1.08653	50
2021-09-06 16:00:00	1.08653	1.08654	1.0864	1.08645	47
2021-09-06 16:05:00	1.08646	1.08651	1.08641	1.0865	72
2021-09-06 16:10:00	1.0865	1.08654	1.08642	1.08649	112
2021-09-06 16:15:00	1.08644	1.0865	1.08635	1.08646	74
2021-09-06 16:20:00	1.08645	1.08656	1.08645	1.08654	50
2021-09-06 16:25:00	1.08655	1.08655	1.08639	1.08644	95
2021-09-06 16:30:00	1.08644	1.08648	1.08639	1.08642	54
2021-09-06 16:35:00	1.08643	1.08646	1.08642	1.08643	54
2021-09-06 16:40:00	1.08643	1.08645	1.08638	1.08641	31
2021-09-06 16:45:00	1.08642	1.08668	1.08642	1.08655	66
2021-09-06 16:50:00	1.08654	1.08654	1.08638	1.08638	93
2021-09-06 16:55:00	1.08642	1.08654	1.08631	1.08634	144
2021-09-06 17:00:00	1.08634	1.08638	1.08624	1.08632	317
2021-09-06 17:05:00	1.08627	1.08634	1.08623	1.08623	395
2021-09-06 17:10:00	1.08623	1.08623	1.08607	1.08614	430
2021-09-06 17:15:00	1.08615	1.08617	1.08605	1.08611	403
2021-09-06 17:20:00	1.08611	1.08616	1.08605	1.08609	355
2021-09-06 17:25:00	1.08607	1.08615	1.08605	1.08611	91
2021-09-06 17:30:00	1.08611	1.08612	1.08602	1.08604	111
2021-09-06 17:35:00	1.08605	1.08609	1.08604	1.08605	92
2021-09-06 17:40:00	1.08605	1.08606	1.08595	1.08596	138
2021-09-06 17:45:00	1.08596	1.08611	1.08596	1.08611	124
2021-09-06 17:50:00	1.08611	1.08613	1.08606	1.08609	106
2021-09-06 17:55:00	1.0861	1.08616	1.08606	1.08614	210
2021-09-06 18:00:00	1.08614	1.08616	1.08607	1.08616	157
2021-09-06 18:05:00	1.08616	1.08618	1.08613	1.08613	96
2021-09-06 18:10:00	1.08613	1.08623	1.08612	1.08615	106
2021-09-06 18:15:00	1.08615	1.08615	1.08606	1.08615	175
2021-09-06 18:20:00	1.08614	1.08617	1.08613	1.08615	126
2021-09-06 18:25:00	1.08616	1.0862	1.08612	1.08616	78
2021-09-06 18:30:00	1.08615	1.08618	1.08613	1.08617	64
2021-09-06 18:35:00	1.08617	1.08621	1.08615	1.08617	41
2021-09-06 18:40:00	1.08618	1.08618	1.08614	1.08616	36
2021-09-06 18:45:00	1.08617	1.0862	1.08614	1.08618	62
2021-09-06 18:50:00	1.08619	1.0862	1.08606	1.08607	112
2021-09-06 18:55:00	1.08606	1.08607	1.08597	1.086	254
2021-09-06 19:00:00	1.086	1.08605	1.08596	1.086	553
2021-09-06 19:05:00	1.086	1.08602	1.08596	1.086	404
2021-09-06 19:10:00	1.086	1.08605	1.08598	1.086	300
2021-09-06 19:15:00	1.086	1.08606	1.08599	1.08604	160
2021-09-06 19:20:00	1.08604	1.0861	1.08601	1.08608	314
2021-09-06 19:25:00	1.08608	1.0861	1.08606	1.0861	153
2021-09-06 19:30:00	1.0861	1.08615	1.08608	1.08608	188
2021-09-06 19:35:00	1.08609	1.0861	1.08607	1.08609	116
2021-09-06 19:40:00	1.08608	1.08614	1.08608	1.0861	81
2021-09-06 19:45:00	1.08611	1.08613	1.08607	1.08607	108
2021-09-06 19:50:00	1.08607	1.08617	1.08607	1.08617	110
2021-09-06 19:55:00	1.08619	1.08659	1.08617	1.08635	1227
2021-09-06 20:00:00	1.08635	1.08644	1.08616	1.08625	1069
2021-09-06 20:05:00	1.08624	1.08628	1.08622	1.08628	315
2021-09-06 20:10:00	1.08626	1.0863	1.0862	1.08628	471
2021-09-06 20:15:00	1.08627	1.08629	1.08622	1.08626	353
2021-09-06 20:20:00	1.08626	1.08633	1.08623	1.0863	1551
2021-09-06 20:25:00	1.08628	1.08637	1.08626	1.08631	1795
2021-09-06 20:30:00	1.08631	1.08635	1.08617	1.08619	912
2021-09-06 20:35:00	1.08619	1.08632	1.08618	1.0862	849
2021-09-06 20:40:00	1.08621	1.08623	1.08617	1.08619	847
